_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
5287,1981217,17003050,24,M,B,2017-02-15T09:35:00,"20 Block Railroad ST Etna, PA 15223",2702 Aggravated Assault.,"400 Block Kennedy AV Pittsburgh, PA 15214",Perry South,1,2615,1,1,-80.0154814275819,40.4743349863478
3307,1978749,16223431,28,M,W,2016-11-29T13:29:00,"6700 Block Frankstown AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"6700 Block Frankstown AV Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.9080026554309,40.458608430522
1104,1975856,16153027,53,M,W,2016-09-28T12:44:00,"600 Block 1st AV Pittsburgh, PA 15219",4304(a)(1) Endangering Welfare of Children.,"20 Block Millbridge ST Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.9960505024945,40.4235822394555
3602,1979142,16224747,37,M,B,2016-12-29T08:15:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 2702 Aggravated Assault. / 2709 Harassment (Non-Specific),"4800 Block Chatsworth AV Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.9438191602938,40.4114344818177
1,1975272,16158872,42,F,B,2016-08-24T12:20:00,"4700 Block Centre AV Pittsburgh, PA 15213",3929 Retail Theft.,"4700 Block Centre AV Pittsburgh, PA 15213",Bloomfield,5,804,8,2,-79.949277413781,40.4525512540161
4310,1980046,17000964,22,M,B,2017-01-02T15:55:00,"1500 Block Crucible ST Pittsburgh, PA 15220",2701 Simple Assault.,"1500 Block Crucible ST Pittsburgh, PA 15220",Crafton Heights,6,2814,2,5,-80.0511132552831,40.4471683853834
1105,1975857,16153931,33,M,B,2016-09-28T11:30:00,"600 Block 1ST AV Pittsburgh, PA 15219",3922 Theft by Deception. / 4107 Deceptive Business Practices. / 517.8(A1) Home Improvement Fraud,"7100 Block ROSS GARDEN RD Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,5,1201,9,2,-79.8947769607023,40.4717285723431
2002,1977003,16193632,30,M,B,2016-10-25T18:20:00,"900 Block 2nd AV Pittsburgh, PA 15219",3701 Robbery.,"2200 Block Arlington AV Pittsburgh, PA 15210",Arlington,3,1603,3,4,-79.9758746116386,40.4168370080581
3002,1978353,16217227,46,M,B,2016-11-18T15:00:00,"7200 Block Frankstown AV Pittsburgh, PA 15208",2702 Aggravated Assault.,"7200 Block Frankstown AV Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.8962537433279,40.4573293365139
1106,1975858,16170608,20,M,B,2016-09-28T13:09:00,"1100 Block Brabec ST Pittsburgh, PA 15212","2705 Recklessy Endangering Another Person. / 5121 Escape. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3112 Traffic-Control Signals. / 3301 Driving on Right Side of Roadway. / 3308 One-Way Roadways and Rotary Traffic Islands. / 3323 Stop Signs and Yield Signs. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving","200 Block East Ohio ST Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.0036604292573,40.4530223875459
5501,1981474,17026078,39,M,W,2017-02-14T17:08:00,"Saw Mill Run BL & E Warrington AV Pittsburgh, PA 15226",3928 Unauthorized Use of Automobile and Other Vehicles. / 4120 Identity Theft / 4914 False Identification to Law Enforcement Authorities,"Curtin AV & Industry ST Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-79.9988992060596,40.4207050018629
3308,1978750,16223431,27,F,W,2016-11-29T13:29:00,"6700 Block Frankstown AV Pittsburgh, PA 15208",1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"6700 Block Frankstown AV Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.9080026554309,40.458608430522
7,1974628,16147655,29,M,W,2016-08-16T13:00:00,"2300 Block Pioneer AV Pittsburgh, PA 15226",2701 Simple Assault.,"2300 Block Pioneer AV Pittsburgh, PA 15226",Brookline,6,1919,4,4,-80.0203572067959,40.4000365223753
1110,1975862,16171769,51,M,W,2016-09-15T09:45:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 5505 Public Drunkenness,"100 Block Federal ST Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.0037636731231,40.4477913834499
4209,1979939,17001618,20,M,B,2017-01-03T15:40:00,"44th ST & Calvin ST Pittsburgh, PA 15201",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"44th ST & Calvin ST Pittsburgh, PA 15201",Central Lawrenceville,2,902,7,2,-79.9537762678363,40.4666229906407
4313,1980049,17001549,27,M,W,2017-01-03T15:00:00,"100 Block Rhine PL Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"100 Block Rhine PL Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.9940985889521,40.466786195587
5503,1981476,17026090,37,F,W,2017-02-11T18:10:00,"800 Block Suismon ST Pittsburgh, PA 15212",9501 Bench Warrant,"800 Block Suismon ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.9973550610236,40.4558148161838
5504,1981477,17026092,68,M,B,2017-02-11T19:30:00,"2600 Block California AV Pittsburgh, PA 15212",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"2600 Block California AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.0333582400004,40.4655716425928
